1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES,GE RUNOFF ELECTION %,"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",SPECIAL PE/CONVENTION/RUNOFF WINNER INDICATOR,SPECIAL GE/RUNOFF WINNER INDICATOR,FOOTNOTES,"MEMBER WHOSE DEATH OR RESIGNATION CREATED THE VACANCY (""-"" indicates death)",
21,NC,North Carolina,03,H0NC03354,,Mike,Payment,"Payment, Mike",,R,537,1.27%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 4/30/2019.,"Walter B. Jones, Jr.(R)-",
22,NC,North Carolina,03,H9NC03017,,Don,Cox,"Cox, Don",,R,251,0.59%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 4/30/2019.,"Walter B. Jones, Jr.(R)-",
23,NC,North Carolina,03,H0NC03255,,Kevin,Baiko,"Baiko, Kevin",,R,171,0.40%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 4/30/2019.,"Walter B. Jones, Jr.(R)-",
24,NC,North Carolina,03,H0NC03347,,Gary ,Ceres,"Ceres, Gary ",,R,108,0.26%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 4/30/2019.,"Walter B. Jones, Jr.(R)-",
25,NC,North Carolina,03,,,,,,Total Party Votes:,R,"42,330",,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 4/30/2019.,"Walter B. Jones, Jr.(R)-",
26,NC,North Carolina,03,H0NC03248 ,,Allen,Thomas,"Thomas, Allen",,D,"12,933",49.96%,,,"42,738",37.47%,,,,,W,,SPECIAL PRIMARY ELECTION: 4/30/2019; SPECIAL GENERAL ELECTION: 9/10/2019.,"Walter B. Jones, Jr.(R)-",
27,NC,North Carolina,03,H0NC03198,,Richard ,Bew,"Bew, Richard ",,D,"6,532",25.23%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 4/30/2019.,"Walter B. Jones, Jr.(R)-",
28,NC,North Carolina,03,H0NC03297,,Dana E.,Outlaw,"Outlaw, Dana E.",,D,"3,268",12.63%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 4/30/2019.,"Walter B. Jones, Jr.(R)-",
29,NC,North Carolina,03,H0NC03214,,Ike,Johnson,"Johnson, Ike",,D,"1,774",6.85%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 4/30/2019.,"Walter B. Jones, Jr.(R)-",
30,NC,North Carolina,03,H0NC03313,,Gregory ,Humphrey,"Humphrey, Gregory ",,D,695,2.68%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 4/30/2019.,"Walter B. Jones, Jr.(R)-",
31,NC,North Carolina,03,H6NC03161,,Ernest T.,Reeves,"Reeves, Ernest T.",,D,683,2.64%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 4/30/2019.,"Walter B. Jones, Jr.(R)-",
32,NC,North Carolina,03,,,,,,Total Party Votes:,D,"25,885",100.00%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 4/30/2019.,"Walter B. Jones, Jr.(R)-",
33,NC,North Carolina,03,H0NC03362,,Greg,Holt,"Holt, Greg",,CON,Unopposed,,,,507,0.44%,,,,,W,,SPECIAL PRIMARY ELECTION: 4/30/2019; SPECIAL GENERAL ELECTION: 9/10/2019.,"Walter B. Jones, Jr.(R)-",
34,NC,North Carolina,03,H0NC03370,,Tim,Harris,"Harris, Tim",,LIB,75,55.97%,,,394,0.35%,,,,,W,,SPECIAL PRIMARY ELECTION: 4/30/2019; SPECIAL GENERAL ELECTION: 9/10/2019.,"Walter B. Jones, Jr.(R)-",
35,NC,North Carolina,03,H0NC03180 ,,Shannon W.,Bray,"Bray, Shannon W.",,LIB,59,44.03%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 4/30/2019.,"Walter B. Jones, Jr.(R)-",
36,NC,North Carolina,03,,,,,,Total Party Votes:,,134,,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 4/30/2019.,"Walter B. Jones, Jr.(R)-",
37,NC,North Carolina,03,,,,,,Total State Votes:,,"68,349",,"36,011",,"114,046",,,,,,,,SPECIAL PRIMARY ELECTION: 4/30/2019; SPECIAL RUNOFF ELECTION: 7/09/2019; SPECIAL GENERAL ELECTION: 9/10/2019.,"Walter B. Jones, Jr.(R)-",
38,,,,,,,,,,,,,,,,,,,,,,,,,
39,NC,North Carolina,09 **,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,
41,MD,Maryland,07,H6MD07020,,Kweisi,Mfume,"Mfume, Kweisi",,D,"31,415",43.02%,,,"111,955",73.79%,,,,,W,W,SPECIAL PRIMARY ELECTION: 2/04/2020; SPECIAL GENERAL ELECTION: 4/28/2020.,Elijah E. Cummings (D)-,
42,MD,Maryland,07,H0MD07122,,Maya Rockeymoore,Cummings,"Cummings, Maya Rockeymoore",,D,"12,524",17.15%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/04/2020.,Elijah E. Cummings (D)-,
43,MD,Maryland,07,H0MD07148,,Jill P.,Carter,"Carter, Jill P.",,D,"11,708",16.03%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/04/2020.,Elijah E. Cummings (D)-,
44,MD,Maryland,07,H0MD07171,,Terri,Hill,"Hill, Terri",,D,"5,439",7.45%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/04/2020.,Elijah E. Cummings (D)-,
45,MD,Maryland,07,H0MD07163,,F. Michael,Higginbotham,"Higginbotham, F. Michael",,D,"3,245",4.44%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/04/2020.,Elijah E. Cummings (D)-,
46,MD,Maryland,07,H0MD07247,,Harry ,Spikes,"Spikes, Harry ",,D,"2,572",3.52%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/04/2020.,Elijah E. Cummings (D)-,
47,MD,Maryland,07,H0MD07106,,Saafir A.,Rabb,"Rabb, Saafir A.",,D,"1,327",1.82%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/04/2020.,Elijah E. Cummings (D)-,
48,MD,Maryland,07,H0MD07205,,Jay,Jalisi,"Jalisi, Jay",,D,"1,257",1.72%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/04/2020.,Elijah E. Cummings (D)-,
49,MD,Maryland,07,H0MD07130,,Talmadge,Branch,"Branch, Talmadge",,D,810,1.11%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/04/2020.,Elijah E. Cummings (D)-,
50,MD,Maryland,07,H0MD07320,,Mark Steven,Gosnell,"Gosnell, Mark Steven",,D,579,0.79%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/04/2020.,Elijah E. Cummings (D)-,
51,MD,Maryland,07,H0MD07254,,T. Dan,Baker,"Baker, T. Dan",,D,377,0.52%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/04/2020.,Elijah E. Cummings (D)-,
52,MD,Maryland,07,H8MD07117,,Charles,Stokes,"Stokes, Charles",,D,297,0.41%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/04/2020.,Elijah E. Cummings (D)-,
53,MD,Maryland,07,H0MD07338,,Paul V.,Konka,"Konka, Paul V.",,D,251,0.34%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/04/2020.,Elijah E. Cummings (D)-,
54,MD,Maryland,07,H0MD07312,,Darryl,Gonzalez,"Gonzalez, Darryl",,D,245,0.34%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/04/2020.,Elijah E. Cummings (D)-,
55,MD,Maryland,07,H0MD07262,,Alicia D.,Brown,"Brown, Alicia D.",,D,180,0.25%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/04/2020.,Elijah E. Cummings (D)-,
56,MD,Maryland,07,H0MD07213,,Leslie E.,Grant,"Grant, Leslie E.",,D,176,0.24%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/04/2020.,Elijah E. Cummings (D)-,
57,MD,Maryland,07,H8MD07109,,"Anthony, Sr.",Carter,"Carter, Anthony, Sr.",,D,155,0.21%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/04/2020.,Elijah E. Cummings (D)-,
58,MD,Maryland,07,H0MD07288,,Jay Fred,Cohen,"Cohen, Jay Fred",,D,150,0.21%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/04/2020.,Elijah E. Cummings (D)-,
59,MD,Maryland,07,H0MD07270,,"Matko Lee, III",Chullin,"Chullin, Matko Lee, III",,D,79,0.11%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/04/2020.,Elijah E. Cummings (D)-,
60,MD,Maryland,07,H0MD07056,,Charles U.,Smith,"Smith, Charles U.",,D,75,0.10%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/04/2020.,Elijah E. Cummings (D)-,
61,MD,Maryland,07,H6MD07459,,Adrian,Petrus,"Petrus, Adrian",,D,60,0.08%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/04/2020.,Elijah E. Cummings (D)-,
62,MD,Maryland,07,H0MD07296,,"Nathaniel M., Sr.",Costley,"Costley, Nathaniel M., Sr.",,D,49,0.07%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/04/2020.,Elijah E. Cummings (D)-,
63,MD,Maryland,07,H0MD07304,,Jermyn,Davidson,"Davidson, Jermyn",,D,31,0.04%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/04/2020.,Elijah E. Cummings (D)-,
64,MD,Maryland,07,H4MD03040,,Dan,Hiegel,"Hiegel, Dan",,D,31,0.04%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/04/2020.,Elijah E. Cummings (D)-,
65,MD,Maryland,07,,,,,,Total Party Votes:,D,"73,032",,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/04/2020.,Elijah E. Cummings (D)-,
66,MD,Maryland,07,H0MD07197,,Kimberly,Klacik,"Klacik, Kimberly",,R,"4,525",40.17%,,,"38,102",25.11%,,,,,W,,SPECIAL PRIMARY ELECTION: 2/04/2020; SPECIAL GENERAL ELECTION: 4/28/2020.,Elijah E. Cummings (D)-,
67,MD,Maryland,07,H0MD07155,,Liz,Matory,"Matory, Liz",,R,"2,740",24.32%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/04/2020.,Elijah E. Cummings (D)-,
68,MD,Maryland,07,H0MD07353,,James C.,Arnold,"Arnold, James C.",,R,"1,401",12.44%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/04/2020.,Elijah E. Cummings (D)-,
69,MD,Maryland,07,H0MD07379,,Reba A.,Hawkins,"Hawkins, Reba A.",,R,913,8.10%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/04/2020.,Elijah E. Cummings (D)-,
70,MD,Maryland,07,H0MD07346,,Christopher M.,Anderson,"Anderson, Christopher M.",,R,852,7.56%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/04/2020.,Elijah E. Cummings (D)-,
71,MD,Maryland,07,H6MD07434,,William,Newton,"Newton, William",,R,414,3.67%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/04/2020.,Elijah E. Cummings (D)-,
72,MD,Maryland,07,H8MD07042,,Ray,Bly,"Bly, Ray",,R,236,2.09%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/04/2020.,Elijah E. Cummings (D)-,
73,MD,Maryland,07,H0MD07361,,Brian L.,Brown,"Brown, Brian L.",,R,185,1.64%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/04/2020.,Elijah E. Cummings (D)-,
74,MD,Maryland,07,,,,,,Total Party Votes:,R,"11,266",,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/04/2020.,Elijah E. Cummings (D)-,
75,MD,Maryland,07,,,,Scattered,Scattered,,W,,,,,"1,660",1.09%,,,,,,,SPECIAL GENERAL ELECTION: 4/28/2020.,Elijah E. Cummings (D)-,
76,MD,Maryland,07,,,Peter,James,"James, Peter",,W,,,,,1,0.00%,,,,,,,SPECIAL GENERAL ELECTION: 4/28/2020.,Elijah E. Cummings (D)-,
77,MD,Maryland,07,,,,,,Total State Votes:,,"84,298",,,,"151,718",,,,,,,,SPECIAL PRIMARY ELECTION: 2/04/2020; SPECIAL GENERAL ELECTION: 4/28/2020.,Elijah E. Cummings (D)-,
78,,,,,,,,,,,,,,,,,,,,,,,,,
79,CA,California,25,H0CA25105,,Mike ,Garcia,"Garcia, Mike ",,R,,,,,"41,365",25.40%,"95,667",54.86%,,,,W,SPECIAL GENERAL ELECTION: 3/03/2020; SPECIAL GENERAL RUNOFF ELECTION: 5/12/2020.,Katie Hill (D),
80,CA,California,25,H0CA25154,,Christy,Smith,"Smith, Christy",,D,,,,,"58,920",36.17%,"78,721",45.14%,,,,,SPECIAL GENERAL ELECTION: 3/03/2020; SPECIAL GENERAL RUNOFF ELECTION: 5/12/2020.,Katie Hill (D),
81,CA,California,25,H4CA25123,,Steve,Knight,"Knight, Steve",,R,,,,,"27,911",17.14%,,,,,,,SPECIAL GENERAL ELECTION: 3/03/2020.,Katie Hill (D),
82,CA,California,25,H0CA25170,,Cenk,Uygur,"Uygur, Cenk",,D,,,,,"10,699",6.57%,,,,,,,SPECIAL GENERAL ELECTION: 3/03/2020.,Katie Hill (D),
83,CA,California,25,H0CA25212,,Aníbal ,Valdéz-Ortega,"Valdéz-Ortega, Aníbal ",,D,,,,,"7,473",4.59%,,,,,,,SPECIAL GENERAL ELECTION: 3/03/2020.,Katie Hill (D),
84,CA,California,25,H0CA25204,,Courtney,Lackey,"Lackey, Courtney",,R,,,,,"3,100",1.90%,,,,,,,SPECIAL GENERAL ELECTION: 3/03/2020.,Katie Hill (D),
85,CA,California,25,H0CA25238,,"Robert, III",Cooper,"Cooper, Robert, III",,D,,,,,"2,986",1.83%,,,,,,,SPECIAL GENERAL ELECTION: 3/03/2020.,Katie Hill (D),
86,CA,California,25,H0CA25220,,David,Lozano,"Lozano, David",,R,,,,,"2,775",1.70%,,,,,,,SPECIAL GENERAL ELECTION: 3/03/2020.,Katie Hill (D),
87,CA,California,25,H0CA25246,,Daniel,Mercuri,"Mercuri, Daniel",,R,,,,,"2,567",1.58%,,,,,,,SPECIAL GENERAL ELECTION: 3/03/2020.,Katie Hill (D),
88,CA,California,25,H0CA25188,,Kenneth,Jenks,"Jenks, Kenneth",,R,,,,,"2,549",1.56%,,,,,,,SPECIAL GENERAL ELECTION: 3/03/2020.,Katie Hill (D),
89,CA,California,25,H0CA25196,,Getro F.,Elize,"Elize, Getro F.",,D,,,,,"1,434",0.88%,,,,,,,SPECIAL GENERAL ELECTION: 3/03/2020.,Katie Hill (D),
90,CA,California,25,H0CA25139,,F. David,Rudnick,"Rudnick, F. David",,D,,,,,"1,100",0.68%,,,,,,,SPECIAL GENERAL ELECTION: 3/03/2020.,Katie Hill (D),
91,CA,California,25,,,,,,Total State Votes:,,,,,,"162,879",,"174,388",,,,,,SPECIAL GENERAL ELECTION: 3/03/2020; SPECIAL GENERAL RUNOFF ELECTION: 5/12/2020.,Katie Hill (D),
92,,,,,,,,,,,,,,,,,,,,,,,,,
93,WI,Wisconsin,07,H0WI07101,,Tom,Tiffany,"Tiffany, Tom",,R,"43,714",57.44%,,,"109,498",57.11%,,,,,W,W,SPECIAL PRIMARY ELECTION: 2/18/2020; SPECIAL GENERAL ELECTION: 5/12/2020.,Sean P. Duffy (R),
94,WI,Wisconsin,07,H0WI07127,,Jason,Church,"Church, Jason",,R,"32,339",42.50%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/18/2020.,Sean P. Duffy (R),
95,WI,Wisconsin,07,,,,Scattered,Scattered,,W(R),29,0.04%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/18/2020.,Sean P. Duffy (R),
96,WI,Wisconsin,07,H0WI07119,,Michael,Opela,"Opela, Michael",,W(R)/W,18,0.02%,,,3,0.00%,,,,,,,SPECIAL PRIMARY ELECTION: 2/18/2020; SPECIAL GENERAL ELECTION: 5/12/2020.,Sean P. Duffy (R),
97,WI,Wisconsin,07,,,,,,Total Party Votes:,R,"76,100",,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/18/2020.,Sean P. Duffy (R),
98,WI,Wisconsin,07,H0WI07135,,Tricia ,Zunker,"Zunker, Tricia ",,D,"35,577",88.94%,,,"82,135",42.84%,,,,,W,,SPECIAL PRIMARY ELECTION: 2/18/2020; SPECIAL GENERAL ELECTION: 5/12/2020.,Sean P. Duffy (R),
99,WI,Wisconsin,07,H4WI07111,,Lawrence,Dale,"Dale, Lawrence",,D,"4,388",10.97%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/18/2020.,Sean P. Duffy (R),
100,WI,Wisconsin,07,,,,Scattered,Scattered,,W(D),34,0.09%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/18/2020.,Sean P. Duffy (R),
101,WI,Wisconsin,07,,,,,,Total Party Votes:,D,"39,999",,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/18/2020.,Sean P. Duffy (R),
102,WI,Wisconsin,07,,,,Scattered,Scattered,,W(CON),36,100.00%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/18/2020.,Sean P. Duffy (R),
103,WI,Wisconsin,07,,,,,,Total Party Votes:,CON,36,,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 2/18/2020.,Sean P. Duffy (R),
104,WI,Wisconsin,07,,,,Scattered,Scattered,,W,,,,,82,0.04%,,,,,,,SPECIAL GENERAL ELECTION: 5/12/2020.,Sean P. Duffy (R),
105,WI,Wisconsin,07,,,Dennis,Paulaha,"Paulaha, Dennis",,W,,,,,2,0.00%,,,,,,,SPECIAL GENERAL ELECTION: 5/12/2020.,Sean P. Duffy (R),
106,WI,Wisconsin,07,,,,,,Total State Votes:,,"116,135",,,,"191,720",,,,,,,,SPECIAL PRIMARY ELECTION: 2/18/2020; SPECIAL GENERAL ELECTION: 5/12/2020.,Sean P. Duffy (R),
107,,,,,,,,,,,,,,,,,,,,,,,,,
108,NY,New York,27,H0NY27090,,Chris,Jacobs,"Jacobs, Chris",,R,*,,,,"74,944",47.22%,,,"81,085",51.09%,W,,SPECIALGENERAL ELECTION: 6/23/2020.,Chris Collins (R),
109,NY,New York,27,H0NY27090,,Chris,Jacobs,"Jacobs, Chris",,IDP,*,,,,"6,141",3.87%,,,"81,085",51.09%,W,,SPECIALGENERAL ELECTION: 6/23/2020.,Chris Collins (R),
110,NY,New York,27,H8NY27176,,Nathan D.,McMurray,"McMurray, Nathan D.",,D,*,,,,"68,684",43.27%,,,"72,998",45.99%,W,W,SPECIALGENERAL ELECTION: 6/23/2020.,Chris Collins (R),
111,NY,New York,27,H8NY27176,,Nathan D.,McMurray,"McMurray, Nathan D.",,WF,*,,,,"4,314",2.72%,,,"72,998",45.99%,W,,SPECIALGENERAL ELECTION: 6/23/2020.,Chris Collins (R),
112,NY,New York,27,,,,Scattered,Scattered,,W,,,,,"2,091",1.32%,,,,,,,SPECIALGENERAL ELECTION: 6/23/2020.,Chris Collins (R),
113,NY,New York,27,H0NY27082,,Duane,Whitmer,"Whitmer, Duane",,LIB,*,,,,"1,500",0.95%,,,,,W,,SPECIALGENERAL ELECTION: 6/23/2020.,Chris Collins (R),
114,NY,New York,27,"H0NY27165

",,Michael J.,Gammariello,"Gammariello, Michael J.",,GRE,*,,,,"1,045",0.66%,,,,,W,,SPECIALGENERAL ELECTION: 6/23/2020.,Chris Collins (R),
115,NY,New York,27,,,,,,Total State Votes:,,,,,,"158,719",,,,,,,,SPECIALGENERAL ELECTION: 6/23/2020.,Chris Collins (R),
116,,,,,,,,,,,,,,,,,,,,,,,,,
117,AZ,Arizona,S,S0AZ00350,,Mark,Kelly,"Kelly, Mark",,D,"665,927",99.93%,,,"1,716,467",51.16%,,,,,W,W,SPECIAL PRIMARY ELECTION: 8/04/2020; SPECIAL GENERAL ELECTION: 11/03/2020.,John McCain (R)-,
118,AZ,Arizona,S,"S0AZ00434
",,"Bo ""Heir Archy""",Garcia,"Garcia, Bo ""Heir Archy""",,W(D),451,0.07%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/04/2020.,John McCain (R)-,
119,AZ,Arizona,S,,,,,,Total Party Votes:,D,"666,378",,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/04/2020.,John McCain (R)-,
120,AZ,Arizona,S,S8AZ00221,(I),Martha,McSally,"McSally, Martha",,R,"551,401",75.20%,,,"1,637,661",48.81%,,,,,W,,SPECIAL PRIMARY ELECTION: 8/04/2020; SPECIAL GENERAL ELECTION: 11/03/2020.,John McCain (R)-,
121,AZ,Arizona,S,S0AZ00376,,"Daniel ""Demand Daniel""",McCarthy,"McCarthy, Daniel ""Demand Daniel""",,R,"181,667",24.77%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/04/2020.,John McCain (R)-,
122,AZ,Arizona,S,,,Sean,Lyons,"Lyons, Sean",,W(R),210,0.03%,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/04/2020.,John McCain (R)-,
123,AZ,Arizona,S,,,,,,Total Party Votes:,R,"733,278",,,,,,,,,,,,SPECIAL PRIMARY ELECTION: 8/04/2020.,John McCain (R)-,
124,AZ,Arizona,S,S0AZ00467,,"Matthew ""Doc""",Dorchester,"Dorchester, Matthew ""Doc""",,W,,,,,379,0.01%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,John McCain (R)-,
125,AZ,Arizona,S,S0AZ00475,,Nicholas N.,Glenn,"Glenn, Nicholas N.",,W,,,,,152,0.00%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,John McCain (R)-,
126,AZ,Arizona,S,S0AZ00525,,Debbie,Simmons,"Simmons, Debbie",,W,,,,,98,0.00%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,John McCain (R)-,
127,AZ,Arizona,S,S0AZ00517,,John,Schiess,"Schiess, John",,W,,,,,92,0.00%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,John McCain (R)-,
128,AZ,Arizona,S,S0AZ00442,,Christopher,Beckett,"Beckett, Christopher",,W,,,,,69,0.00%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,John McCain (R)-,
129,AZ,Arizona,S,S0AZ00509,,Joshua,Rodriguez,"Rodriguez, Joshua",,W,,,,,69,0.00%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,John McCain (R)-,
130,AZ,Arizona,S,S0AZ00384,,"Mohammad ""Mike Obama""",Arif,"Arif, Mohammad ""Mike Obama""",,W,,,,,68,0.00%,,,,,,,SPECIAL GENERAL ELECTION: 11/03/2020.,John McCain (R)-,
